sentences,sentiment
Bad,-1
I can't understand the method of teaching,0
Worst,-1
The instructor was interested in the students and their progress.,1
The instructor don't use any examples for explaination.,0
Teaching is good but always late to class,1
Explaination is poor,-1
Too worst.,-1
The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,1
Very poor,-1
Filthy,0
Content dellivery is not good,-1
Bad,-1
The instructor showed familiarity with the course material.,0
Bad,-1
Excellent,1
Too fast,0
Explaination is very good,1
Bad,-1
Remarkable,1
Right on target,0
Excellent,1
Worst,-1
Bad,-1
Extraordinary,0
Fine teaching,1
Teachers are very professional,0
Proper teaching is done,0
Too worst.,-1
"very helpful.When you have a problem, they are always ready to help you.",1
Cooperation needed with students,0
Teacher can improve,1
Cooperative nature of teachers makes it easier for better learning,1
More hard work required,-1
The instructor made good use of examples and illustrations,1
Not good,-1
Filthy,0
Teachers are highly qualified but they should devote more time to students,1
The instructor Always made sure everyone understand explanations ,1
The instructor was available for individual discussion.,0
Interactive lectures are conducted by staff.,0
Bad,-1
They need to develop a friendly nature towards learners.,1
The instructor was  not available for individual discussion,0
Precise lecture notes and interesting contents.,1
All teachers are really well experienced and resourceful,1
Worst,-1
Good ,1
Not on time,0
Presentation skills are well.,1
Teachers are ready to teach students not only in classes but available to clear doubts in their free time,1
Well understandable concepts,1
Well planned and timely teaching is carried .,1
Worst,-1
average,0
The teacher interacted with whole class .,0
 the teachers prepare for the classes are very poorly,0
Filthy,0
very bad,-1
Teacher has less knowledge of their own subject.,0
Very creative lectures ,1
Good teaching techniques ,1
This is a magnificent academy with excelllent teachers,1
Filthy,0
Nice teaching,1
teaching is good,1
not good,-1
not too good,-1
teaching is not good,-1
very good,1
points are not understandable,0
Too bad,-1
hard to understand,-1
Slow voice so it's not that audible,0
Good,1
Not gud behavior,0
Excellent explaination ,1
Well planned and nice skillssss,1
Too worst.,-1
very bad and hard to understand,-1
Quite impressive teaching,1
Gud but Not much satisfied ,-1
More Hard work required regarding concepts clearing,-1
Awesome teaching skills,1
Low voice,-1
teaching  is neutral,0
teaching is good,1
very bad teaching,-1
teaching is excellent,1
is not good,-1
teaching is understandable,0
Teacher was good.,1
Explains well but unable to write content on blackboard,1
Easily available and understandable notes,1
Filthy,0
Not only taught as per syllabus but extra knowledge shared too,1
Always willing to explain,0
Easy to learn and make notes ,1
Gr8 lecturers with perfect knowledge,1
Many ideas are shared for logic development,1
Noteworthy lectures and can't forget those days,1
"Good reasoning sessions,very helpful",1
Filthy,0
Always well prepared,1
Efforts needed in presentation skills,0
Staff have many ways to explain  so it's easy to understand,1
Well teaching ,1
Enthusiastic teacher,1
Quite punctual,0
Happy with teaching stuff.....,1
Excellence in performing is required,1
Hard working staff,-1
not,0
Worst,-1
teaching is very good,1
Great jobbbb,1
expectations not fulfilled,-1
Best technical knowledge,1
teaching is not good,-1
Amazing ways to learn & explore ,1
Bad,-1
Well versed and experience is gud,1
Okay but can change some ways to teachh,1
excellent teaching,1
required points are covered,0
excellent teaching provided,1
Worst,-1
not understandable,0
very bad,-1
poor teaching,-1
teaching is not good,-1
Too worst.,-1
Well prepared teachers,1
Concept wise okay,1
Can be more interactive,0
Fine ,1
Filthy.,0
Handwriting can't be understood,0
Worst concepts,-1
good but skills can be improved in pronunciation,1
needs to improve a lot,1
Excellent teaching,1
My goodness how impressive!!,1
can improve the way of explanation,1
awesome teachers,1
technologywise improvement must happen,1
Dedicated score,1
Best in the world,1
Filthy,0
teaching is  good but,1
Very funny person ,1
not good,-1
Bad,-1
excellent,1
Awesom,0
Having fun to learn new things,1
Strong points and fair enough as per exms,1
Bad,-1
Hard work regarding notes isn't that up to mark,-1
Teachers are very helpful anytime and any day always !!!,1
Very nice technique and quality experience,1
Well satisfied as per our results but can do much better regarding explanation,1
Can't handle the class full of too many students,0
Really bad explaination,-1
Weak communication skill,-1
Can't interact that nicely with students,-1
Weak in programming concepts,-1
Only teach in short ,0
No knowledge of curriculum,-1
Concepts arent cleared not the doubts,1
Imperfect english language,-1
Good but we won't understand the newly topics so well,1
Electronic concept aren't cleared ,-1
Maths part isn't well explained,-1
Worst,-1
Happy yet not satisfied teaching techniques,1
Maths is best explained but some sums are difficult for them to explain,-1
Poetical way of explaining is best,1
Peer tutoring isn't that good method,-1
Okay but not as per the curriculum mentioned,1
Continue scolding won't help,-1
Not helpful notes at all,-1
Not clearing my doubts n ignoring,-1
Voice not audible,0
good but needs to be improved,1
Too worst.,-1
Poor,-1
Teaching is not good,-1
Communication is not good but teaching is good,1
Not good,-1
Teaching is poor but communicates very well,1
Teaching is poor,-1
his teaching  skills needed to be better,1
teaching is good but voice is not audible,1
The lecturer not very well explained the topic. ,-1
The lectures are not very interesting and make me eager to listen to them. ,0
not good,-1
not understandable,0
"The lecturer not makes the lectures quite interesting and attractive and the
exercise class is not very useful”",1
unable to understand,0
very tough to understand,-1
 not good,-1
good enough and understandable,1
teaching is good,1
worst,-1
not too good,-1
very bad,-1
understandable,0
Teaching not good,-1
Teaching good but get diverted with phone call,1
Too bad,-1
Teaching is poor,-1
Voice is not audible,0
Lacks in communication,0
Not good,-1
 improvement needed,1
Irresponsible teachers,-1
Teachers need to improve themselves,1
English is not good,-1
Timing issues,0
Language pdoblems,0
No importance of time,-1
Bad behaviour,-1
Useless teachers,-1
Cant expect this from teachers,0
English problem,-1
Filthy,0
Syllabus incomplete ,0
Rude behaviour,-1
Lazy habits,-1
Language problems,-1
Fine but practically not clear concepts,-1
Poor language ,-1
English problems,-1
No time importance,-1
Poor behaviour,-1
No strictness in class,-1
Teaching is good but low voice,-1
English is poor but good explaination,1
Teaching is good but timing issues,1
Teaching is good but not language,1
Poor pronouncing but good teaching,1
Teaching is good but timing is not perfect,-1
Low voice but nice explaination,1
Teaching is good but timing issues,1
Explaination is good but poor english,-1
Teaching is good but poor dressing sense ,-1
very Good......and innovative,1
The instructor showed enthusiasm for the course component.,1
The course content provide by this teacher is not sufficient for exams,0
Finish course on time,0
Never finish course on time,0
The course content is good. But out dated.,1
Quite good course,1
Some contents are bad,-1
Not covered,0
The topics and assignments were at an appropriate level of difficulty.,-1
Covers everything,0
Course completed in time ,0
Whacky,0
Outstanding,1
Nice,1
Not paying much attention,0
Good ,1
Incredible course contents ,0
Course content is interesting,1
Great going courses,1
courses content are difficult to understand.,-1
Nice courses,1
Filthy,0
The content is excellent,1
I expect the content to be raised to the standard which is required,0
Contents are quite informative,0
The instructor was not interested in course.,-1
Bad,-1
very bad,-1
Includes various concepts which are explained thoroughly. ,0
The course content is not precise and module as a whole is not very well delivered ,-1
I learned a lot from taking this course component.,0
Some other courses can be added.,0
Highly rated content.,0
the course content is too easy but don't explain it nicely,-1
Courses are Knowledgeable.,0
The course component was stimulating.,1
Neutral ,0
awesome,1
Excellent courses,1
the courses is easy to understand,1
Need to work on contents,0
No need of Extra courses,-1
course content is excellent,1
The content taught was easy to understand.,1
The syllabus of each course was not challenging,-1
good but needs to be improved,1
Good,1
Worst,-1
Not satisfied,-1
Nice notes and easy to understand ,1
Background for benefiting from the courses was noot goood,0
Good,1
not completed on time,0
Too worst.,-1
average completion of course,0
all the things get covered,0
completion is always late,0
whole syllabus covered in time,0
somehow completed,0
not helpful for exams,-1
Up to mark,0
Okay,1
Well versed,1
Happy with courses ,1
Not well versed ,-1
helpful courses provided,1
Great courses ,1
Filthy,0
Irrelevant,0
Okay,1
Nice,1
Okay,1
innovative courses,1
not covered in time,0
completed till the date,0
not completed ,0
completed in time but,0
Too worst.,-1
very good,1
Good coursecontent. It was informative,1
Good,1
Interaction needed,0
Very Helpful,1
Excellent course!,1
Goooooooooddd,0
Too much syllabus,0
Perfecttt,0
Appreciable course contents,0
Phenomenal,0
Good,1
Very amazing courses,1
Outstanding,1
Good ,1
Filthy,0
Nicer,1
Helpful courses ,1
Gud,0
Too many courses,0
Well versed ,1
completed within time,0
Cool,1
not completed,0
Filthy,0
Excellent,1
courses are relevant to syllabus only,0
Course content is too much,0
very good but,1
Bad,-1
Gr8,1
Nice ,1
Superb,1
relevant courses are in teaching,0
courses are not completed,0
courses completed in time,0
not easy to learn,-1
courses are completed ,0
courses are conducted in time,0
Too bad,-1
completed in time,0
Gives the basic knowledge of every thing.,0
Contents are well delivered,1
Does not give enough time to develop skills.,0
Okayyz,0
Well planned,1
Okay,1
better than before but it can be improved more,1
its the best course ,1
Awesome ,1
Good course,1
its rubbish.... how could one design such a worst curriculam,-1
With the new technologies course is evolving ,0
average in some subjects,0
Too worst.,-1
Okay okay,1
irrelevant courses ,0
Courses aren't updated,0
completed with good knowledge,1
very good and understandable,1
Happy with courses,1
Satisfied with contentss,1
Okay,1
Quite better,1
Contents are too heavy to understand,0
Perfectt,0
Nicer,1
Well versed,1
Not gud,0
Not good,-1
Not good,-1
Weak planning done ,-1
Okay,1
Okay,1
Okay,1
Okay,1
Okay,1
Filthy,0
Good,1
Okay,1
Good,1
Okay,1
Nyccc,0
Okayz,0
Is gudd,0
Okay,1
Okay,1
Nice,1
To small,0
Finshes on time,0
Bad,-1
Bad,-1
Too large,0
Never finshes on time,0
Never finishes on time,0
Finshes on time,0
Not good,-1
the contents are not very well explained,-1
contents are not very well explained,-1
The content has not fuelled my interest in this area of content,-1
 The contents are not with real-time examples so I am not able to understand better,1
course content is not completed,0
partially completed,0
Not Detailed explanations and clarity,1
hard to learn,-1
partially completed,0
not completed in time,0
not completed,0
completed,0
not completed,0
Too worst.,-1
very hard to understand,-1
incomplete always,0
not completed,0
Finish all course in it,0
Never finshes in time,0
Large  content,0
Never finishes in time,0
Never get finishes on time,0
Not completed,0
Incomplete ,0
Incomplete,0
Not finished,0
Syllabus is too much,0
Difficult,-1
Hard to understand,-1
Too worst.,-1
Necessary syllabus is not available ,0
Worthless syllabus ,-1
Vast syllabus,0
Hard to understand,-1
Very hard,-1
Hard to understand ,-1
Useless content,-1
Vast but not deep,0
Deep but useless,-1
Not that easy to understand,-1
Hard,-1
Vast,0
Vast but useless,-1
Very hard,-1
Vast and hard,-1
Vast but easy,1
Easy but not deep,1
Easy but not worthy,-1
Difficult but not vast,-1
Vast but deep,0
Deep but easy,1
Hard but not so large,-1
Easy but not deep,1
Vast but not deep,0
Too bad,-1
Easy but vast,1
Examination pattern is good but it can be done better,1
He was not prepared to explain the course for examination.,-1
at the time of examination the provided content  is not good but he explain it nicely,1
Patern is easy,1
Easy,1
Examination is okay. But can be good.,1
Poor,-1
Excellent,1
Very hard,-1
The amount of material covered was inappropriate.,0
Tough,-1
Easy to learn pattern ,1
Bad,-1
I hate using my Brain right now,-1
Improvement needed ,1
Hard work needed ,-1
Marvelous ,1
Superb,1
Orderly schedule is followed for examination,0
the course content is not enough for examination,0
Exams aren't as per expectations,0
The syllabus for examination is too more than to read.,0
Fine work,1
Examination is not conducted in good manner. It needs improvement,1
Worst,-1
Exams are standardized  enough to meet the qualification requirments.,0
Supervisors are needed ,0
what the instructor taught and what comes up in the exam are not similar,0
average,0
Should be conducted in a non chaotic way. ,-1
"The clarity of the material provided and the simplicity and the breaking down
in the handouts",1
the question appeared in the exam are good and easy,1
Exams aren't started on time,0
Includes odd questions which have no importance.,-1
they don't give enough time to complete the paper,0
Practical exams arent conducted well,-1
The topics and assignments were at an appropriate level of difficulty.,-1
Excellent ,1
ok ok,1
Timetable aren't updated,0
question appeared in are not from syllabus,0
Okay!!,1
Well versed,1
pattern needs to improve a lot,1
The teacher shared  important points in course for exam.,1
able to write answers in that given time ,0
very goooooddddd pattern,0
Awesomemeeee,0
Boring,-1
Always important to check what one has learned ,1
can able to write answer without reading ,0
Perfect plans,1
poor,-1
very critical,-1
easy,1
exams were  very hard,-1
was too easy,1
exams was easy,1
very critical,-1
Satisfactory,1
Gud,0
Okayyy....,0
Niceee,0
Okay,1
pattern was hard,-1
Easy examination due to planned courses,1
Out of syllabus questions,0
Okay,1
Wonderfullll,0
Nicer,1
very good,1
questions were hard to understand,-1
very good,1
not so good,-1
exams was too tough,-1
good,1
Disciplined and strict examination,0
Exams schedule is good but can be done much better,1
Poor printing,-1
Gud,0
Very clearly organised,1
Okay,1
Out of syllabus questions asked ,0
Its gr8,1
Gr8 going,1
Proper exams are conducted ,0
Nyccc,0
Well structured,1
Gr88,0
Nice ,1
Out of sllybus is asked ,0
Not that easy,-1
Fabbb,0
Good,1
Nice,1
not good,-1
Easy to score,1
complex and hard questions,-1
Gooddd,0
exams were hard,-1
Okay,1
very hard,-1
Fine,1
Good,1
Outstanding,1
very hard,-1
hard numericals,-1
excellent,1
very hard,-1
very hard to understand the questions,-1
exams were very tough,-1
the exam was good,1
Good,1
Amazing,1
Examination does not test skills.,0
Perfect,1
Fy9,0
Okay,1
pattern is not satisfactory,-1
ok ok,1
Best,1
Remarkable,1
very bad examination pattern,-1
it takes good effort to give exams. question level is  moderate,1
pattern is well structured,1
Gr88,0
Practicals are not conducted well,-1
was too critical,-1
Intellectual needed ,1
excellent,1
good and solvable,1
Gud,0
Gud 1,0
Nice,1
Btter,0
Sometimes too many exam bring stress in life,-1
Awesomeee,0
Goooooood,0
Fine,1
Okay,1
Fine,1
Unhappy,-1
Not well planned schedules,-1
Good,1
Okay,1
Good,1
Nice,1
Finee,0
Good,1
Nice,1
Cool,1
Nice,1
Nyccc,0
Fy9,0
Okay,1
Nice,1
Fine,1
Nice,1
good but not great,-1
Simple,0
Not good,-1
Lengthy,0
Tough,-1
Tough,-1
Tough,-1
Tough,-1
the questions are not that much tough,1
they asked theory question too much  but never concentrate on facts,0
The content has not fuelled my interest in this area.,-1
 I not able to understand the questions better in the examination,1
very poor,-1
not understandable,0
Course is not very nice and lecturer is also not interesting and very helpful”,-1
very tough,-1
hard,-1
too hard,-1
very critical,-1
not bad,1
good but not great,-1
good enough but not,1
numericals were critical ,-1
tough to solve,1
Easy but not good,-1
Have tough questions,-1
Tough,-1
Tough,-1
Tough questions,-1
Not well managed,-1
Guarding issues,0
Bad environment,-1
Examination halls are not good,-1
Supervision is not that good,-1
Un scheduled ,0
Proper management required,0
Supervision is poor,-1
Proper attention required,0
Poor checking,-1
Halls are not good,-1
Poor management,-1
No Proper schedule ,-1
No strictness in examination ,-1
Improper judgement,0
Hygiene required,0
Okay,1
No Discipline,-1
No proper sitting arrangement,-1
Poor supervision,-1
Conjusted exam halls,0
No water arrangement,-1
Supervision is good but not strict,1
Halls are conjusted but great environment ,1
Okay okay,1
Strict but no discipline ,-1
All is good except timing,1
Sitting arrangements are good but no ventilation ,-1
All is good except sitting arrangement,1
Sitting arrangement is good but poor supervision,-1
Good supervision but poor management,-1
Good management but no ventilation ,-1
practicals are conducted regularly and in appropriate manner,0
The instructor was not prepared for the session but he explained it in a good manner.,1
in practicle exam he helped us a lot,0
Easy,1
Good,1
Good,1
Excellent,1
Average,0
Good,1
 The goals were achieved to a significant extent.,1
No focus on labwork,-1
Manuals weren't upto date ,0
I love labs,1
Successful effort !!!!,1
Superb lab but not that perfect teacher ,-1
Noteworthy,0
Clever,1
Improvement is required,1
Equipment in the lab is in good working condition,1
Doubts aren't cleared,-1
the lab faculty is comparatively better than anything else in the college,1
Labs are cleaned ,0
Machines are good but practicals are not upto the mark,1
"Excellent lab work,  assignments were carried on successfully.",1
Internet problems are seen,-1
 management is not good enough according to the amount they charge,-1
very bad,-1
Labwork is done properly but assignments need to be upto the marks. ,0
Goals were achieved ,0
the teachers unable to communicate in proper language,0
Good contents and enthusiastic staff members.,1
Needs to be conducted in a teamwork. ,0
Infrastructure and Lab facilities are not good,-1
Case study classes are very interesting.,1
They are very friendly and supportive,1
Good ,1
Very bad infrastructure,-1
Discussion are carried out for understanding purpose.,0
Equipment in the lab are not in good working condition,-1
Well maintained!!,1
Chairs in the labs aren't good,-1
very bad infrastructure,-1
Lab practicals was taken very good ,1
Reading material regarding praticles is not available,0
needs to be improved,1
Mind blowing!!!!!,0
Interesting,1
Practicals are very very important for each n every student. ,1
the equipments in lab are not in good condition ,-1
Interesting,1
very good labwork,1
not too good,-1
assignments are critical to understand,-1
assignments completed on time,0
excellent labwork,1
not much good,-1
tough syllabus in labwork,-1
Well enoughhhh!!,1
Not happy...With labs ,0
Well enough,1
Perfecttt,0
Clear labs !!!!,1
appreciable,0
Awesome management and teaching,1
Not that gud labs,0
Okay,1
Happy with lab guide,1
Okay but isn't that clean and gud,-1
manuals are not completed,0
lab work is good ,1
nice and helpful,1
assignments were completed in time,0
assignments were too hard,-1
awesome,1
Good but,1
Laboratories are well infrastructured but some pc are not working,1
Avg,0
Interesting lab tasks:),1
Really focused training faculty.,1
Gr888,0
More than expectations,0
Nycc,0
Honourable work carried,1
Expertise faculty needed for concept clearing,0
Interesting assignments for interest development,1
Manuals are difficult to understand!!!!,-1
Okay,1
Outstanding,1
Not that gud,0
Requires for brain development skills like coding,1
Fabbb,0
Sufficient practice is conducted ,0
Good,1
excellent,1
Interest could be developed more,1
satisfactory lab work provided,1
Nice,1
lab work is not satisfactory,-1
Nice,1
manuals are not completed,0
Great teaching,1
Labs are clean and well maintained,1
Amazing,1
not satisfactory,-1
assignments are  easy to understand,1
practicals are conducted regularly,0
assignments completed in time,0
labs are very good,1
manuals are completed in time,0
useful assignments taught by teacher,1
Can be more experimental,0
Fabbbbb,0
Labwork gives more practical knowledge,0
Okay,1
Its nice to learn in labs ,1
Quite easy to understand sessions,1
needs to improve,1
average,0
All apparatus are well maintained,1
Excellent labs ....,1
its average when we talk about pc,0
must be repaired since it has leakages on the roof,0
machines are not upgraded,0
Communication problem,-1
Complicated place to work,0
assignments are completed before time,0
Sufficient space ,0
good enough,1
assignments are easy to learn,1
Kinda cleanliness needed,0
Niceeeeee,0
Happy with labs and practicals,1
Awesome and interest seeking labs,1
Nice,1
Fine,1
Just okay okay,1
Fine,1
Gooooood,0
Okayyz,0
Nice,1
Okay,1
Fine,1
Lab assistant are needed to guide us well,1
No one is there for contact purpose,-1
Lab Entries aren't managed well,-1
Labs aren't clean,-1
Okay,1
Lab should have updated softwares,0
Clean n best,1
Perrrrrfectttt,0
Niceeeeee,0
Finee,0
Best,1
Okayz,0
Quite active staff evrrrrrr,1
Never finishes on time,0
Up to date,0
Never finsh on time,0
Very bad,-1
Never finishes on time,0
Never finishes on time,0
Not good,-1
Explanation is poor,-1
the communication skills are not good but they explain it very well,1
not useful content and good lecturer,1
The lab equipment class is not very good ,-1
I like the topic but don't like  how it is taught,-1
assignments are not taught,0
hard assignments,-1
Lecturing style is not enganging,0
assignments implemented within time,0
assignments taught in easy manner,1
assignments completed n understandable,0
assignments completed according to syllabus,0
tough assignments,-1
bad experience,-1
taught properly,0
practicals are not easy,-1
assignments not covered,0
Good but,1
Doesnot provide practical knowledge,0
Poor,-1
Poor,-1
Never get finishes in time,0
Apparatus not available,0
Cleanliness issues,0
Problems in practicals,-1
Lab assistants are not properly educated,0
Devices are not well maintained,-1
Out dated devices,0
Equipments are not a available,0
Lab requires some renovation,0
Useless equipments,-1
Necessary equipments are not available,0
Uneducated lab technicians,0
Cleanliness issues,0
More equipments are required,0
Required equipments are not available ,0
Equipments required,0
More equipments required,0
Labs aren't opened in required timing,0
New equipments required,0
Old devices,0
Need more devices,0
Broken devices,-1
Poor technicians,-1
All the devices are available but not in working condition,0
